epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2435,0.64532,2.499,1.15939,0.85406,0.78745,0.87405,0.75403,0.55077,1.11593,1.08544,0.000330808,0.000330808,0.000330808
2,124.979,0.67991,1.48195,1.16527,0.66851,0.6471,0.73701,0.57207,0.73284,1.61727,1.27778,0.000657566,0.000657566,0.000657566
3,184.364,0.7306,1.35096,1.1899,0.49837,0.51382,0.47919,0.37067,0.74775,2.22055,1.26018,0.000977725,0.000977725,0.000977725
4,243.674,0.72361,1.23815,1.19384,0.69311,0.66201,0.69267,0.53798,0.77713,1.37264,1.27467,0.0009703,0.0009703,0.0009703
5,302.207,0.70789,1.10798,1.17828,0.85118,0.76212,0.87336,0.72487,0.63253,0.91022,1.14711,0.0009604,0.0009604,0.0009604
6,360.827,0.67403,0.98981,1.15406,0.86748,0.74927,0.86269,0.71042,0.65667,0.87741,1.17705,0.0009505,0.0009505,0.0009505
7,424.911,0.66116,0.9319,1.14575,0.87227,0.81183,0.90224,0.76129,0.62397,0.73521,1.12218,0.0009406,0.0009406,0.0009406
8,486.607,0.64321,0.90502,1.13128,0.84374,0.79691,0.88064,0.73986,0.63934,0.79008,1.15348,0.0009307,0.0009307,0.0009307
9,545.396,0.64227,0.83534,1.12952,0.70573,0.74291,0.80846,0.66159,0.69474,1.11292,1.21752,0.0009208,0.0009208,0.0009208
10,604.869,0.63223,0.81643,1.11779,0.77157,0.75692,0.84896,0.71879,0.55891,0.88839,1.07494,0.0009109,0.0009109,0.0009109
11,662.61,0.61423,0.78081,1.11508,0.91604,0.85189,0.93166,0.80812,0.56663,0.56746,1.07272,0.000901,0.000901,0.000901
12,720.499,0.59923,0.75484,1.10127,0.85498,0.84001,0.90886,0.77019,0.59729,0.66243,1.11192,0.0008911,0.0008911,0.0008911
13,779.407,0.59139,0.72252,1.10511,0.85107,0.81533,0.92144,0.80309,0.55316,0.67767,1.07428,0.0008812,0.0008812,0.0008812
14,836.894,0.59321,0.69867,1.09864,0.91851,0.83736,0.93898,0.81256,0.53202,0.54263,1.06379,0.0008713,0.0008713,0.0008713
15,893.503,0.57141,0.67982,1.08349,0.88508,0.85398,0.92597,0.8038,0.54037,0.58652,1.06439,0.0008614,0.0008614,0.0008614
16,949.667,0.5903,0.68245,1.09667,0.88517,0.87063,0.93881,0.8229,0.51672,0.53188,1.03755,0.0008515,0.0008515,0.0008515
17,1007.29,0.56013,0.6392,1.08172,0.8859,0.84063,0.93002,0.81504,0.49907,0.55906,1.03491,0.0008416,0.0008416,0.0008416
18,1062.91,0.55018,0.6308,1.0727,0.93443,0.86632,0.9442,0.83209,0.51432,0.51229,1.03613,0.0008317,0.0008317,0.0008317
19,1117.25,0.54994,0.61659,1.07052,0.91227,0.87981,0.94974,0.83758,0.49551,0.47724,1.03068,0.0008218,0.0008218,0.0008218
20,1171.76,0.5553,0.61106,1.07672,0.93077,0.91891,0.96435,0.8579,0.48943,0.41651,1.00276,0.0008119,0.0008119,0.0008119
21,1228.07,0.53722,0.59885,1.06645,0.95049,0.89519,0.95248,0.84534,0.49735,0.47055,1.04625,0.000802,0.000802,0.000802
22,1285.22,0.53516,0.57899,1.05907,0.8946,0.86798,0.94799,0.84106,0.47554,0.54645,1.00986,0.0007921,0.0007921,0.0007921
23,1340.65,0.51791,0.5801,1.05237,0.93866,0.90641,0.96117,0.85196,0.47282,0.42176,1.00419,0.0007822,0.0007822,0.0007822
24,1395.59,0.52367,0.56557,1.04973,0.93723,0.87772,0.95124,0.8382,0.50392,0.46058,1.03715,0.0007723,0.0007723,0.0007723
25,1450.31,0.51357,0.55879,1.05696,0.9326,0.89086,0.95508,0.84856,0.48813,0.45576,1.02278,0.0007624,0.0007624,0.0007624
26,1503.86,0.50603,0.53144,1.04698,0.94646,0.9136,0.96554,0.85514,0.48209,0.41294,1.01614,0.0007525,0.0007525,0.0007525
27,1559.28,0.5024,0.52956,1.04054,0.95772,0.9164,0.96943,0.86523,0.45665,0.4013,0.98985,0.0007426,0.0007426,0.0007426
28,1614.85,0.49905,0.53043,1.04128,0.95532,0.91362,0.96906,0.86147,0.48007,0.39522,1.00819,0.0007327,0.0007327,0.0007327
29,1670.95,0.50446,0.52454,1.04275,0.94625,0.90402,0.96161,0.86672,0.45691,0.40222,0.98652,0.0007228,0.0007228,0.0007228
30,1728.1,0.49318,0.509,1.04119,0.92888,0.89325,0.95486,0.84975,0.47619,0.44068,1.00556,0.0007129,0.0007129,0.0007129
31,1785.53,0.48759,0.50698,1.02679,0.94569,0.9099,0.96699,0.86642,0.45276,0.39971,0.98783,0.000703,0.000703,0.000703
32,1842.63,0.48239,0.49133,1.03019,0.94991,0.91326,0.96807,0.87464,0.43667,0.38278,0.98114,0.0006931,0.0006931,0.0006931
33,1898.91,0.47092,0.47745,1.03043,0.94677,0.90887,0.96554,0.87288,0.44119,0.39768,0.97601,0.0006832,0.0006832,0.0006832
34,1954.55,0.47412,0.49537,1.02256,0.93174,0.9078,0.95761,0.86092,0.45416,0.4081,0.99484,0.0006733,0.0006733,0.0006733
35,2009.16,0.47968,0.49113,1.0325,0.93224,0.89672,0.95579,0.87078,0.44821,0.40959,0.98873,0.0006634,0.0006634,0.0006634
36,2066.9,0.48779,0.48868,1.03159,0.93512,0.92088,0.96451,0.86401,0.45451,0.39373,0.99059,0.0006535,0.0006535,0.0006535
37,2125.13,0.46977,0.46815,1.01879,0.94743,0.92365,0.96728,0.87592,0.43824,0.37341,0.99278,0.0006436,0.0006436,0.0006436
38,2183.05,0.465,0.46063,1.01988,0.96818,0.90578,0.96648,0.8783,0.43652,0.36914,0.97755,0.0006337,0.0006337,0.0006337
39,2240.25,0.45825,0.45178,1.0159,0.94699,0.92181,0.96717,0.88332,0.41617,0.35862,0.95929,0.0006238,0.0006238,0.0006238
40,2296.89,0.45105,0.44036,1.01764,0.95671,0.89139,0.9684,0.8814,0.42826,0.39881,0.9712,0.0006139,0.0006139,0.0006139
41,2352.12,0.46682,0.4442,1.01899,0.94669,0.91887,0.9664,0.88092,0.42999,0.35924,0.96502,0.000604,0.000604,0.000604
42,2407.37,0.4563,0.44557,1.0139,0.96497,0.90594,0.96682,0.88292,0.42725,0.35806,0.97858,0.0005941,0.0005941,0.0005941
43,2462.53,0.44687,0.43051,1.00855,0.96235,0.89737,0.96566,0.88229,0.41755,0.3632,0.95611,0.0005842,0.0005842,0.0005842
44,2517.57,0.44084,0.42494,1.00398,0.94668,0.91663,0.96872,0.88212,0.41637,0.35987,0.96461,0.0005743,0.0005743,0.0005743
45,2572.91,0.43004,0.42124,1.00456,0.96099,0.92499,0.97502,0.88729,0.41827,0.34388,0.96813,0.0005644,0.0005644,0.0005644
46,2630.46,0.43902,0.40967,1.00456,0.93483,0.92196,0.96483,0.87562,0.41823,0.36532,0.97031,0.0005545,0.0005545,0.0005545
47,2687.5,0.4394,0.42051,1.01007,0.95595,0.93088,0.97128,0.89264,0.40726,0.32985,0.95862,0.0005446,0.0005446,0.0005446
48,2744.79,0.43358,0.416,1.00429,0.95162,0.91385,0.96844,0.88452,0.40786,0.34877,0.96089,0.0005347,0.0005347,0.0005347
49,2801.28,0.4411,0.40882,0.99705,0.95155,0.93711,0.97277,0.89032,0.40897,0.32895,0.95647,0.0005248,0.0005248,0.0005248
50,2857.59,0.43717,0.41392,0.99777,0.96159,0.92482,0.97335,0.89029,0.40705,0.32564,0.95735,0.0005149,0.0005149,0.0005149
51,2913.06,0.42584,0.394,0.99319,0.95768,0.93499,0.97652,0.90056,0.39553,0.31193,0.94757,0.000505,0.000505,0.000505
52,2968.7,0.42614,0.39191,0.99135,0.96741,0.9342,0.97544,0.89455,0.40009,0.31493,0.94431,0.0004951,0.0004951,0.0004951
53,3024.41,0.43042,0.39461,1.00114,0.9668,0.92446,0.97274,0.89233,0.3972,0.31875,0.94268,0.0004852,0.0004852,0.0004852
54,3079.38,0.41637,0.38751,0.99561,0.96084,0.92318,0.96925,0.89276,0.39586,0.34308,0.94926,0.0004753,0.0004753,0.0004753
55,3135.33,0.41013,0.38086,0.98999,0.96563,0.93634,0.97625,0.89641,0.3892,0.31346,0.94693,0.0004654,0.0004654,0.0004654
56,3191.44,0.40941,0.3828,0.98724,0.9478,0.90243,0.96216,0.88838,0.38827,0.35663,0.94657,0.0004555,0.0004555,0.0004555
57,3248.27,0.41363,0.38615,0.98958,0.95842,0.94096,0.97748,0.89955,0.38581,0.30067,0.94404,0.0004456,0.0004456,0.0004456
58,3304.27,0.4134,0.37869,0.99236,0.96895,0.93077,0.97586,0.90549,0.381,0.3053,0.93821,0.0004357,0.0004357,0.0004357
59,3360.57,0.40124,0.36561,0.9841,0.95147,0.91923,0.9723,0.89882,0.38471,0.31871,0.93519,0.0004258,0.0004258,0.0004258
60,3415.44,0.40062,0.36949,0.98091,0.9548,0.93688,0.97449,0.90302,0.3816,0.3115,0.93351,0.0004159,0.0004159,0.0004159
61,3469.48,0.39386,0.35585,0.97669,0.95849,0.94485,0.97523,0.9029,0.37736,0.30117,0.93201,0.000406,0.000406,0.000406
62,3525.32,0.3967,0.35428,0.98174,0.96682,0.92665,0.97516,0.90133,0.38471,0.30628,0.93436,0.0003961,0.0003961,0.0003961
63,3581.31,0.3941,0.35528,0.98225,0.9631,0.9308,0.97441,0.90499,0.37311,0.30032,0.93205,0.0003862,0.0003862,0.0003862
64,3637.81,0.38785,0.34797,0.97694,0.95624,0.9311,0.975,0.90185,0.37334,0.30529,0.93659,0.0003763,0.0003763,0.0003763
65,3694.03,0.38664,0.33964,0.97145,0.97743,0.92871,0.97727,0.90407,0.38374,0.30305,0.94638,0.0003664,0.0003664,0.0003664
66,3750.77,0.38912,0.3453,0.97418,0.96993,0.93161,0.97414,0.90074,0.38274,0.29806,0.94013,0.0003565,0.0003565,0.0003565
67,3807.77,0.3791,0.34611,0.96927,0.97002,0.9228,0.9767,0.90455,0.38197,0.29713,0.93588,0.0003466,0.0003466,0.0003466
68,3864.9,0.3776,0.32888,0.97461,0.95931,0.94144,0.97717,0.90982,0.37587,0.28312,0.93762,0.0003367,0.0003367,0.0003367
69,3922.52,0.37441,0.32638,0.97198,0.97245,0.93232,0.9783,0.90938,0.36596,0.28248,0.92194,0.0003268,0.0003268,0.0003268
70,3978.03,0.37828,0.3302,0.97176,0.96539,0.95257,0.97808,0.90846,0.36282,0.27787,0.9212,0.0003169,0.0003169,0.0003169
71,4033.8,0.37869,0.32993,0.96983,0.97239,0.93873,0.97845,0.9091,0.36989,0.28491,0.93101,0.000307,0.000307,0.000307
72,4091.68,0.3693,0.33119,0.96491,0.96353,0.93419,0.97581,0.90587,0.37724,0.29392,0.9375,0.0002971,0.0002971,0.0002971
73,4151.43,0.3725,0.32166,0.96458,0.97223,0.93807,0.97403,0.90946,0.35774,0.27989,0.92406,0.0002872,0.0002872,0.0002872
74,4209.1,0.36418,0.31028,0.96168,0.97755,0.9338,0.97843,0.91293,0.36126,0.27434,0.9264,0.0002773,0.0002773,0.0002773
75,4266.4,0.36727,0.32,0.96904,0.96828,0.94182,0.97572,0.9096,0.36691,0.2808,0.93653,0.0002674,0.0002674,0.0002674
